file_index,mse,val_mse,mae,val_mae,test_mse,r_squared,oob_value
0,0.0008582755108363926,0.0011051922338083386,0.009762006811797619,0.010755347087979317,0.0008322049397975206,0.9352943894166905,0.9188596049690941
2,0.0008817877969704568,0.0011453565675765276,0.010165686719119549,0.010980727151036263,0.00085645099170506,0.9334091878124984,0.9166985456473447
1,0.0008691023685969412,0.0011265071807429194,0.009818817488849163,0.010676088742911816,0.0008456893847323954,0.9342459160765291,0.91802739578929
3,0.0008491954067721963,0.0010876983869820833,0.009980187751352787,0.010716665536165237,0.0008276024600490928,0.9356522404087777,0.9148529204501983
8,0.0003657855559140444,0.0004028466937597841,0.009154864586889744,0.009593840688467026,0.00037388812052085996,0.9709294704742818,0.9128126656868075
7,0.0008815503679215908,0.0011317810276523232,0.010327113792300224,0.011043688282370567,0.0008417408680543303,0.9345529812595913,0.9113965678082697
10,0.0009299005032517016,0.001180395483970642,0.011183517053723335,0.011928115971386433,0.0008939003455452621,0.930497415616292,0.8983966550560063
6,0.0005429416778497398,0.0006751751061528921,0.009206755086779594,0.009968947619199753,0.0005505626322701573,0.9571925889742423,0.9119267655921772
14,0.0006503415643237531,0.0008166094194166362,0.009576748125255108,0.01019715704023838,0.0006364797591231763,0.950512420946204,0.9210340870195503
11,0.0007941017393022776,0.001006135018542409,0.010306477546691895,0.011117585934698582,0.0007734393002465367,0.9398634947645451,0.9057321762941188
12,0.0004056556208524853,0.0004644543514586985,0.00920252874493599,0.009728184901177883,0.0004137161304242909,0.9678327043912659,0.9102489245038624
18,0.0008179801516234875,0.001051335479132831,0.009749618358910084,0.010501918382942677,0.0007888892432674766,0.9386622059670295,0.9210609324769632
17,0.0006810896447859704,0.0008668170776218176,0.009713392704725266,0.010501277633011341,0.000668535940349102,0.9480198760908071,0.9157858000953014
16,0.0007623075507581234,0.0009694816544651985,0.010113425552845001,0.010855212807655334,0.0007336718263104558,0.9429555356701085,0.9138663498902692
15,0.000869221577886492,0.0011549968039616942,0.010213568806648254,0.011136072687804699,0.0008507429738529027,0.9338529068527894,0.9100341608445581
20,0.00045326288091018796,0.0005226288340054452,0.009247686713933945,0.00972912460565567,0.0004540509544312954,0.9646965944145174,0.9205307346930558
22,0.00039721254142932594,0.0004516092303674668,0.009433874860405922,0.009977035224437714,0.000399550364818424,0.9689340994800363,0.911638176924987
19,0.0008454960770905018,0.0010790276573970914,0.010240035131573677,0.010915976949036121,0.000806013063993305,0.9373308264632748,0.9151616432104482
21,0.0009118289453908801,0.0011871405877172947,0.01070343516767025,0.011695344001054764,0.0008938424871303141,0.9305018930098428,0.9039670874692116
23,0.0005719003966078162,0.0006935499259270728,0.010929248295724392,0.01166725903749466,0.0005981185822747648,0.9534950718372776,0.8858061355292918
24,0.0004452731227502227,0.0005532813374884427,0.008977995254099369,0.00970295537263155,0.00048642675392329693,0.962179295514376,0.9182555821773009
25,0.0008795675821602345,0.0011346460087224841,0.010466499254107475,0.011304848827421665,0.0008480304386466742,0.9340639560209355,0.911403279172623
26,0.0005305697559379041,0.0006426040781661868,0.009483391419053078,0.010087287984788418,0.0005199661827646196,0.9595715882774973,0.9178931685022248
27,0.0008642938337288797,0.0011082796845585108,0.010235951282083988,0.010978151112794876,0.0008246703655458987,0.9358800925703469,0.9177589412151597
30,0.0008962848223745823,0.001156303333118558,0.01081323716789484,0.01167544350028038,0.0009618091862648726,0.9252174334081933,0.9061281467909611
29,0.0008839572547003627,0.001139393774792552,0.010699823498725891,0.011563047766685486,0.0008563871379010379,0.93341423862265,0.9037321897168475
33,0.0005002060206606984,0.0005958632682450116,0.009784428402781487,0.010401672683656216,0.0005049912724643946,0.960735909268919,0.9087187334313193
31,0.0004134046903345734,0.00046958777238614857,0.009340984746813774,0.009877268224954605,0.00041969618177972734,0.9673677384676245,0.9143361453949973
35,0.0007232982316054404,0.0008993379306048155,0.010462477803230286,0.011180825531482697,0.00070340366801247,0.9453089088190717,0.905503989906108
32,0.0005282947095111012,0.0006463848985731602,0.009980752132833004,0.010618667118251324,0.0005292855785228312,0.9588469500267629,0.9071885423587761
28,0.0007829937385395169,0.001003086450509727,0.011613232083618641,0.012443418614566326,0.0008112451760098338,0.936924045001552,0.8827457533842055
34,0.0004957274068146944,0.0005885752616450191,0.009419415146112442,0.010027126409113407,0.0004981516394764185,0.961267651686836,0.9170676706867739
